hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
9, 600.00000, 2.13273, 3.06985, 0.528645, 3.86953, 0.63814, 2.08051, 0, 0
9, 1200.00000, 1.00372, 3.17231, -0.688697, 3.86159, -0.439413, 2.05127, 0, 0
9, 1800.00000, 0.0316507, 3.25288, -1.72934, 3.84412, -1.36088, 2.02343, 0, 0
9, 2400.00000, -0.269293, 3.31454, -2.07095, 3.88135, -1.661, 2.03766, 0, 0
9, 3000.00000, -0.936746, 3.42137, -2.80913, 3.92796, -2.31166, 2.05313, 0, 0
10, 0.00000, -1.27627, 3.47338, -3.18314, 3.94872, -2.64136, 2.05965, 0, 0
10, 600.00000, -2.34485, 3.6169, -4.34751, 3.98956, -3.66892, 2.06887, 0, 0
10, 1200.00000, -3.08543, 3.70748, -5.14752, 4.00638, -4.37532, 2.0711, 0, 0
10, 1800.00000, -3.17602, 3.77646, -5.27532, 4.07571, -4.48483, 2.10804, 0, 0
10, 2400.00000, -3.2994, 3.80288, -5.41411, 4.09156, -4.60676, 2.11583, 0, 0
10, 3000.00000, -3.27541, 3.7949, -5.38515, 4.08502, -4.58153, 2.11288, 0, 0
11, 0.00000, -3.59521, 3.79191, -5.70845, 4.04307, -4.86934, 2.08737, 0, 0
11, 600.00000, -3.9043, 3.77543, -6.01428, 3.98675, -5.1423, 2.05379, 0, 0
11, 1200.00000, -4.03653, 3.75129, -6.13553, 3.94246, -5.25159, 2.02908, 0, 0
11, 1800.00000, -4.14794, 3.70037, -6.2223, 3.86965, -5.33172, 1.98856, 0, 0
11, 2400.00000, -4.3157, 3.65603, -6.36987, 3.79766, -5.46544, 1.94788, 0, 0
11, 3000.00000, -4.61993, 3.63455, -6.66759, 3.73559, -5.73126, 1.91175, 0, 0
12, 0.00000, -4.43268, 3.61317, -6.46565, 3.73315, -5.55306, 1.91256, 0, 0
12, 600.00000, -4.48041, 3.62977, -6.52327, 3.74688, -5.60326, 1.91915, 0, 0
12, 1200.00000, -4.11365, 3.57253, -6.12194, 3.7249, -5.24975, 1.90949, 0, 0
12, 1800.00000, -4.09486, 3.57018, -6.10171, 3.72447, -5.23191, 1.90935, 0, 0
12, 2400.00000, -3.85276, 3.56516, -5.85291, 3.74785, -5.01105, 1.92432, 0, 0
12, 3000.00000, -3.82035, 3.56612, -5.8211, 3.75311, -4.98265, 1.92692, 0, 0
13, 0.00000, -3.8955, 3.57474, -5.90209, 3.75413, -5.05415, 1.92668, 0, 0
13, 600.00000, -3.80157, 3.56417, -5.80083, 3.75305, -4.96477, 1.9272, 0, 0
13, 1200.00000, -3.5606, 3.62385, -5.58672, 3.8516, -4.77091, 1.98305, 0, 0
13, 1800.00000, -3.00003, 3.64508, -5.02838, 3.94392, -4.27302, 2.0379, 0, 0
13, 2400.00000, -2.62518, 3.6664, -4.65813, 4.01357, -3.94232, 2.0794, 0, 0
13, 3000.00000, -1.91567, 3.69849, -3.95211, 4.13507, -3.31198, 2.15318, 0, 0
14, 0.00000, -1.22758, 3.75889, -3.28152, 4.2861, -2.71113, 2.24372, 0, 0
14, 600.00000, 0.441466, 3.71613, -1.55175, 4.42949, -1.17292, 2.34663, 0, 0
14, 1200.00000, 1.20194, 3.72805, -0.777731, 4.5299, -0.482321, 2.41454, 0, 0
14, 1800.00000, 2.38289, 3.80685, 0.395656, 4.75369, 0.569284, 2.55928, 0, 0
14, 2400.00000, 3.60405, 3.74422, 1.68909, 4.81588, 1.71848, 2.62164, 0, 0
14, 3000.00000, 4.05575, 3.72578, 2.16702, 4.84362, 2.14331, 2.64901, 0, 0
15, 0.00000, 6.82113, 3.60329, 5.10671, 4.99643, 4.75743, 2.81514, 0, 0
15, 600.00000, 7.88282, 3.59211, 6.22275, 5.09352, 5.75253, 2.90515, 0, 0
15, 1200.00000, 8.33029, 3.59875, 6.6887, 5.14695, 6.16871, 2.9512, 0, 0
15, 1800.00000, 9.48432, 3.59067, 7.90493, 5.2543, 7.25388, 3.05469, 0, 0
15, 2400.00000, 10.9231, 3.53975, 9.45171, 5.33807, 8.63002, 3.16464, 0, 0
15, 3000.00000, 15.7725, 3.45307, 14.677, 5.69462, 13.2835, 3.62511, 0, 0
16, 0.00000, 17.2681, 3.48581, 16.2727, 5.86563, 14.7094, 3.81368, 0, 0
16, 600.00000, 19.7639, 3.58125, 18.932, 6.18986, 17.0888, 4.16508, 0, 0
16, 1200.00000, 20.2329, 3.60254, 19.4325, 6.25334, 17.537, 4.2347, 0, 0
16, 1800.00000, 22.1393, 3.76217, 21.4326, 6.59319, 19.3342, 4.5656, 0, 0
16, 2400.00000, 22.5571, 3.83843, 21.8476, 6.71479, 19.7113, 4.66221, 0, 0
16, 3000.00000, 23.7864, 4.04652, 23.0828, 7.05232, 20.8315, 4.94008, 0, 0
17, 0.00000, 24.8149, 4.17194, 24.155, 7.27432, 21.7983, 5.15164, 0, 0
17, 600.00000, 25.3397, 4.33934, 24.645, 7.50577, 22.2502, 5.32094, 0, 0
17, 1200.00000, 25.9938, 4.43063, 25.3342, 7.65833, 22.8687, 5.4732, 0, 0
17, 1800.00000, 27.0739, 4.59888, 26.4659, 7.92792, 23.8869, 5.73685, 0, 0
17, 2400.00000, 28.0349, 4.83176, 27.412, 8.28971, 24.7288, 6.02134, 0, 0
17, 3000.00000, 20.1883, 3.97567, 19.4339, 7.84005, 16.4645, 5.25461, 0, 0
18, 0.00000, 22.0597, 4.31234, 21.2337, 8.28496, 18.2063, 5.58328, 0, 0
18, 600.00000, 24.0553, 4.77006, 23.1135, 8.94775, 19.9664, 6.0433, 0, 0
18, 1200.00000, 24.483, 4.87691, 23.5099, 9.0909, 20.347, 6.14114, 0, 0
18, 1800.00000, 24.9777, 5.00226, 23.9653, 9.25813, 20.7858, 6.25341, 0, 0
18, 2400.00000, 24.6479, 4.91846, 23.6615, 9.1469, 20.4928, 6.17837, 0, 0
18, 3000.00000, 24.3864, 4.85279, 23.4189, 9.05826, 20.2606, 6.11769, 0, 0
19, 0.00000, 24.5804, 4.90219, 23.5996, 9.12383, 20.434, 6.1636, 0, 0
19, 600.00000, 24.2521, 4.81959, 23.2962, 9.01324, 20.1423, 6.08863, 0, 0
19, 1200.00000, 23.8889, 4.72978, 22.9611, 8.89131, 19.821, 6.00699, 0, 0
19, 1800.00000, 22.7924, 4.4772, 21.9253, 8.52577, 18.8526, 5.75056, 0, 0
19, 2400.00000, 22.0601, 4.31157, 21.2341, 8.28584, 18.2053, 5.58333, 0, 0
19, 3000.00000, 21.5937, 4.20893, 20.7934, 8.13336, 17.7949, 5.47804, 0, 0
20, 0.00000, 21.3957, 4.16621, 20.6031, 8.06929, 17.6192, 5.43131, 0, 0
20, 600.00000, 21.3281, 4.15251, 20.5379, 8.04732, 17.56, 5.41553, 0, 0
20, 1200.00000, 21.2611, 4.13855, 20.474, 8.0254, 17.5014, 5.40032, 0, 0
20, 1800.00000, 21.1941, 4.12431, 20.4103, 8.00369, 17.4426, 5.38524, 0, 0
20, 2400.00000, 21.1604, 4.11709, 20.3783, 7.99291, 17.4128, 5.37768, 0, 0
20, 3000.00000, 20.9284, 4.06792, 20.1561, 7.91807, 17.2079, 5.3242, 0, 0
21, 0.00000, 20.6616, 4.01233, 19.9006, 7.83232, 16.9729, 5.2633, 0, 0
21, 600.00000, 19.7578, 3.82785, 19.0356, 7.54431, 16.1782, 5.06065, 0, 0
21, 1200.00000, 18.9228, 3.65994, 18.2365, 7.28255, 15.4424, 4.87689, 0, 0
21, 1800.00000, 28.3003, 4.8403, 27.684, 8.23813, 25.0496, 6.00551, 0, 0
21, 2400.00000, 26.9069, 4.49685, 26.3114, 7.71691, 23.8205, 5.59115, 0, 0
21, 3000.00000, 26.4727, 4.38804, 25.8825, 7.56106, 23.4297, 5.46342, 0, 0
22, 0.00000, 26.1061, 4.29722, 25.5209, 7.42969, 23.1007, 5.35671, 0, 0
22, 600.00000, 25.8381, 4.23119, 25.2564, 7.33468, 22.8596, 5.27913, 0, 0
22, 1200.00000, 25.7368, 4.20684, 25.1555, 7.29902, 22.7682, 5.24944, 0, 0
22, 1800.00000, 25.435, 4.13484, 24.8556, 7.19196, 22.4978, 5.16163, 0, 0
22, 2400.00000, 25.1991, 4.07844, 24.6208, 7.10955, 22.2849, 5.09313, 0, 0
22, 3000.00000, 25.2319, 4.08619, 24.6528, 7.1216, 22.3136, 5.10238, 0, 0
23, 0.00000, 25.1298, 4.06181, 24.5526, 7.08567, 22.2225, 5.07389, 0, 0
23, 600.00000, 24.7508, 3.97192, 24.1813, 6.95384, 21.8836, 4.96969, 0, 0
23, 1200.00000, 24.0601, 3.81055, 23.5068, 6.71477, 21.2683, 4.78346, 0, 0
23, 1800.00000, 23.5034, 3.68294, 22.9662, 6.5233, 20.775, 4.63788, 0, 0
23, 2400.00000, 22.6691, 3.49514, 22.1557, 6.23914, 20.036, 4.4226, 0, 0
23, 3000.00000, 21.4879, 3.2363, 21.008, 5.84277, 18.9907, 4.12392, 0, 0
