hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
45, 600.00000, 19.7578, 3.82785, 19.0356, 7.54431, 16.1782, 5.06065, 0, 0
45, 1200.00000, 18.9228, 3.65994, 18.2365, 7.28255, 15.4424, 4.87689, 0, 0
45, 1800.00000, 28.3003, 4.8403, 27.684, 8.23813, 25.0496, 6.00551, 0, 0
45, 2400.00000, 26.9069, 4.49685, 26.3114, 7.71691, 23.8205, 5.59115, 0, 0
45, 3000.00000, 26.4727, 4.38804, 25.8825, 7.56106, 23.4297, 5.46342, 0, 0
46, 0.00000, 26.1061, 4.29722, 25.5209, 7.42969, 23.1007, 5.35671, 0, 0
46, 600.00000, 25.8381, 4.23119, 25.2564, 7.33468, 22.8596, 5.27913, 0, 0
46, 1200.00000, 25.7368, 4.20684, 25.1555, 7.29902, 22.7682, 5.24944, 0, 0
46, 1800.00000, 25.435, 4.13484, 24.8556, 7.19196, 22.4978, 5.16163, 0, 0
46, 2400.00000, 25.1991, 4.07844, 24.6208, 7.10955, 22.2849, 5.09313, 0, 0
46, 3000.00000, 25.2319, 4.08619, 24.6528, 7.1216, 22.3136, 5.10238, 0, 0
47, 0.00000, 25.1298, 4.06181, 24.5526, 7.08567, 22.2225, 5.07389, 0, 0
47, 600.00000, 24.7508, 3.97192, 24.1813, 6.95384, 21.8836, 4.96969, 0, 0
47, 1200.00000, 24.0601, 3.81055, 23.5068, 6.71477, 21.2683, 4.78346, 0, 0
47, 1800.00000, 23.5034, 3.68294, 22.9662, 6.5233, 20.775, 4.63788, 0, 0
47, 2400.00000, 22.6691, 3.49514, 22.1557, 6.23914, 20.036, 4.4226, 0, 0
47, 3000.00000, 21.4879, 3.2363, 21.008, 5.84277, 18.9907, 4.12392, 0, 0
48, 0.00000, 20.7932, 3.08796, 20.3328, 5.61304, 18.3762, 3.95173, 0, 0
